<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.31	03:00:00	2795.73	2796.54	2794.52	2794.84	3019	0	20
2025.01.31	03:30:00	2794.84	2796.43	2794.41	2796.25	3384	0	20
2025.01.31	04:00:00	2796.26	2798.02	2794.72	2796.31	3512	0	20
2025.01.31	04:30:00	2796.30	2797.66	2794.66	2796.00	3604	0	20
2025.01.31	05:00:00	2795.97	2798.13	2795.52	2796.67	3059	0	20
2025.01.31	05:30:00	2796.66	2797.50	2796.13	2796.24	3044	0	20
2025.01.31	06:00:00	2796.21	2796.21	2794.44	2794.81	3416	0	20
2025.01.31	06:30:00	2794.80	2796.34	2794.39	2795.69	3717	0	20
2025.01.31	07:00:00	2795.70	2796.30	2794.95	2795.38	4123	0	20
2025.01.31	07:30:00	2795.37	2796.20	2793.98	2795.51	3536	0	20
2025.01.31	08:00:00	2795.50	2795.59	2793.28	2794.29	2455	0	20
2025.01.31	08:30:00	2794.40	2795.52	2792.10	2792.57	3215	0	20
2025.01.31	09:00:00	2792.56	2799.83	2792.16	2799.82	4416	0	20
2025.01.31	09:30:00	2799.83	2800.88	2797.25	2798.31	5836	0	20
2025.01.31	10:00:00	2798.25	2799.27	2793.37	2793.75	6510	0	20
2025.01.31	10:30:00	2793.67	2794.62	2791.57	2793.05	5281	0	20
2025.01.31	11:00:00	2793.14	2795.38	2792.60	2794.51	6266	0	20
2025.01.31	11:30:00	2794.48	2796.36	2793.51	2793.59	4814	0	20
2025.01.31	12:00:00	2793.59	2794.99	2791.63	2793.94	5399	0	20
2025.01.31	12:30:00	2793.96	2794.69	2790.94	2794.08	3827	0	20
2025.01.31	13:00:00	2793.95	2797.22	2792.28	2796.49	3836	0	20
2025.01.31	13:30:00	2796.51	2800.70	2795.79	2800.14	4970	0	20
2025.01.31	14:00:00	2800.14	2805.69	2799.95	2805.20	4977	0	20
2025.01.31	14:30:00	2805.24	2807.80	2804.54	2805.29	4541	0	20
2025.01.31	15:00:00	2805.28	2806.42	2803.79	2805.09	5585	0	20
2025.01.31	15:30:00	2804.94	2808.32	2803.21	2806.31	6336	0	20
2025.01.31	16:00:00	2806.31	2807.66	2804.45	2807.49	6518	0	20
2025.01.31	16:30:00	2807.52	2812.47	2804.95	2812.22	6612	0	20
2025.01.31	17:00:00	2812.22	2817.01	2809.26	2809.68	7271	0	20
2025.01.31	17:30:00	2809.68	2811.54	2808.12	2809.15	6303	0	20
2025.01.31	18:00:00	2809.06	2810.16	2804.88	2806.68	6401	0	20
2025.01.31	18:30:00	2806.69	2809.58	2805.84	2807.42	4738	0	20
2025.01.31	19:00:00	2807.42	2812.62	2802.93	2807.88	8501	0	20
2025.01.31	19:30:00	2807.91	2816.20	2807.18	2808.61	10312	0	20
2025.01.31	20:00:00	2808.57	2808.82	2798.41	2799.72	9845	0	20
2025.01.31	20:30:00	2799.71	2803.01	2795.25	2798.69	9373	0	20
2025.01.31	21:00:00	2798.72	2801.72	2796.94	2801.68	6791	0	20
2025.01.31	21:30:00	2801.67	2802.71	2795.25	2796.12	5780	0	20
2025.01.31	22:00:00	2796.09	2797.40	2794.21	2796.98	6178	0	22
2025.01.31	22:30:00	2796.95	2801.94	2796.01	2800.71	7363	0	20
2025.01.31	23:00:00	2800.61	2802.32	2799.43	2801.21	4341	0	20
2025.01.31	23:30:00	2801.20	2801.97	2797.87	2797.89	2474	0	20
2025.02.03	01:00:00	2800.56	2801.42	2789.62	2790.51	204	0	20
2025.02.03	01:30:00	2791.04	2793.92	2789.34	2793.38	441	0	20
2025.02.03	02:00:00	2793.96	2795.92	2790.20	2793.92	3810	0	20
2025.02.03	02:30:00	2793.93	2795.84	2790.65	2792.12	4956	0	20
2025.02.03	03:00:00	2792.11	2792.14	2781.35	2782.32	6937	0	32
2025.02.03	03:30:00	2782.29	2784.48	2778.15	2782.25	6655	0	20
2025.02.03	04:00:00	2782.19	2782.65	2776.40	2777.75	8190	0	20
2025.02.03	04:30:00	2777.60	2779.72	2773.62	2778.00	7192	0	20
2025.02.03	05:00:00	2778.04	2778.16	2773.87	2775.42	6187	0	20
2025.02.03	05:30:00	2775.41	2776.32	2772.04	2774.38	5008	0	23
2025.02.03	06:00:00	2774.34	2782.91	2774.12	2779.05	6151	0	21
2025.02.03	06:30:00	2779.04	2781.52	2776.84	2780.73	4758	0	20
2025.02.03	07:00:00	2780.67	2784.91	2779.91	2784.67	3655	0	20
2025.02.03	07:30:00	2784.69	2784.95	2782.60	2782.96	4150	0	20
2025.02.03	08:00:00	2782.95	2787.59	2782.76	2786.99	4008	0	20
2025.02.03	08:30:00	2786.88	2787.88	2783.76	2786.60	4635	0	20
2025.02.03	09:00:00	2786.81	2788.89	2785.81	2786.80	5655	0	26
2025.02.03	09:30:00	2786.78	2789.76	2785.25	2789.19	6347	0	20
2025.02.03	10:00:00	2789.24	2798.71	2786.90	2797.96	7749	0	20
2025.02.03	10:30:00	2797.82	2800.28	2796.33	2796.62	6046	0	20
2025.02.03	11:00:00	2796.55	2798.56	2794.61	2797.87	6004	0	20
2025.02.03	11:30:00	2797.84	2800.72	2796.04	2796.14	6009	0	20
2025.02.03	12:00:00	2796.04	2796.61	2793.07	2795.09	4685	0	20
2025.02.03	12:30:00	2795.05	2799.95	2792.97	2797.98	4934	0	20
2025.02.03	13:00:00	2797.87	2804.10	2797.79	2798.69	5223	0	20
2025.02.03	13:30:00	2798.64	2801.48	2798.41	2801.06	4583	0	20
2025.02.03	14:00:00	2801.12	2804.45	2800.45	2803.33	4729	0	20
2025.02.03	14:30:00	2803.42	2810.64	2801.93	2810.28	4809	0	20
2025.02.03	15:00:00	2810.26	2811.76	2807.48	2810.39	6125	0	20
2025.02.03	15:30:00	2810.39	2811.15	2808.01	2810.91	7095	0	20
2025.02.03	16:00:00	2810.88	2815.47	2810.11	2814.28	7052	0	20
2025.02.03	16:30:00	2814.27	2830.42	2813.82	2829.90	10110	0	20
2025.02.03	17:00:00	2829.90	2830.31	2814.02	2821.41	11563	0	20
2025.02.03	17:30:00	2821.45	2821.92	2813.43	2817.24	11640	0	20
2025.02.03	18:00:00	2817.24	2825.19	2813.86	2820.90	8358	0	20
2025.02.03	18:30:00	2820.89	2822.92	2812.78	2814.08	6859	0	20
2025.02.03	19:00:00	2814.08	2819.25	2813.88	2818.61	5458	0	20
2025.02.03	19:30:00	2818.64	2822.11	2815.82	2817.08	7370	0	20
2025.02.03	20:00:00	2817.06	2821.59	2815.91	2817.98	5652	0	20
2025.02.03	20:30:00	2818.11	2821.24	2817.38	2820.92	5439	0	20
2025.02.03	21:00:00	2820.98	2822.94	2820.13	2821.16	5932	0	20
2025.02.03	21:30:00	2821.16	2821.22	2817.84	2818.17	4753	0	20
2025.02.03	22:00:00	2818.15	2819.43	2816.18	2816.37	4016	0	20
2025.02.03	22:30:00	2816.37	2817.54	2815.47	2816.52	3400	0	20
2025.02.03	23:00:00	2816.50	2817.41	2813.33	2814.44	2752	0	20
2025.02.03	23:30:00	2814.42	2815.44	2811.90	2814.60	4060	0	20
2025.02.04	01:00:00	2813.45	2813.98	2812.18	2812.99	910	0	20
2025.02.04	01:30:00	2813.03	2814.95	2812.40	2813.78	1508	0	20
2025.02.04	02:00:00	2814.16	2814.68	2812.54	2814.67	1451	0	20
2025.02.04	02:30:00	2814.70	2817.51	2814.46	2817.37	2120	0	20
2025.02.04	03:00:00	2817.35	2821.03	2815.92	2820.41	4032	0	20
2025.02.04	03:30:00	2820.40	2824.07	2819.46	2823.25	4553	0	20
