<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.06	03:30:00	2865.67	2871.73	2865.65	2871.54	3002	0	25
2025.02.06	04:00:00	2871.54	2873.31	2868.26	2870.79	2524	0	25
2025.02.06	04:30:00	2870.79	2872.41	2869.54	2870.47	2986	0	25
2025.02.06	05:00:00	2870.48	2870.48	2864.30	2865.09	3311	0	25
2025.02.06	05:30:00	2865.05	2869.67	2864.68	2869.29	2166	0	25
2025.02.06	06:00:00	2869.31	2872.27	2869.13	2869.86	1577	0	25
2025.02.06	06:30:00	2869.86	2870.30	2868.27	2868.45	1214	0	25
2025.02.06	07:00:00	2868.45	2870.01	2866.83	2868.72	1712	0	25
2025.02.06	07:30:00	2868.72	2869.77	2865.45	2868.29	2848	0	25
2025.02.06	08:00:00	2868.29	2870.10	2867.97	2869.16	2724	0	25
2025.02.06	08:30:00	2869.16	2871.21	2858.41	2859.31	3628	0	25
2025.02.06	09:00:00	2859.32	2861.78	2858.48	2860.96	3400	0	25
2025.02.06	09:30:00	2860.81	2861.51	2854.98	2855.66	3848	0	25
2025.02.06	10:00:00	2855.93	2856.87	2848.73	2851.46	4269	0	25
2025.02.06	10:30:00	2851.45	2858.53	2851.09	2856.09	3326	0	25
2025.02.06	11:00:00	2856.09	2859.96	2855.62	2856.34	3411	0	25
2025.02.06	11:30:00	2856.14	2859.92	2855.75	2859.28	2728	0	25
2025.02.06	12:00:00	2859.39	2861.03	2855.68	2860.44	2866	0	25
2025.02.06	12:30:00	2860.62	2861.77	2857.98	2859.22	2941	0	25
2025.02.06	13:00:00	2858.77	2862.30	2858.14	2860.25	2810	0	25
2025.02.06	13:30:00	2860.44	2867.39	2859.99	2865.88	3490	0	25
2025.02.06	14:00:00	2865.87	2870.20	2865.20	2867.27	3863	0	25
2025.02.06	14:30:00	2867.28	2868.77	2863.62	2864.41	3185	0	25
2025.02.06	15:00:00	2864.47	2864.98	2859.28	2861.25	4882	0	25
2025.02.06	15:30:00	2861.23	2863.80	2855.55	2856.74	5039	0	25
2025.02.06	16:00:00	2856.74	2859.73	2854.41	2857.34	5221	0	25
2025.02.06	16:30:00	2857.37	2858.14	2841.22	2841.90	6042	0	25
2025.02.06	17:00:00	2841.90	2847.55	2834.20	2844.58	6212	0	25
2025.02.06	17:30:00	2844.63	2853.11	2843.86	2850.59	4865	0	25
2025.02.06	18:00:00	2850.48	2854.61	2849.11	2850.62	3857	0	25
2025.02.06	18:30:00	2850.62	2853.76	2848.71	2848.71	3488	0	25
2025.02.06	19:00:00	2848.71	2851.76	2848.07	2851.04	2620	0	25
2025.02.06	19:30:00	2851.03	2852.62	2848.98	2852.28	2958	0	25
2025.02.06	20:00:00	2852.26	2852.62	2849.75	2851.87	3142	0	25
2025.02.06	20:30:00	2851.85	2853.62	2849.97	2852.61	2820	0	25
2025.02.06	21:00:00	2852.61	2852.80	2850.53	2851.39	2766	0	25
2025.02.06	21:30:00	2851.39	2854.17	2850.37	2853.89	2444	0	25
2025.02.06	22:00:00	2853.89	2857.28	2853.79	2854.35	2811	0	25
2025.02.06	22:30:00	2854.34	2856.68	2853.85	2856.42	3125	0	25
